odia_word,desia_word,desia_sentence
ଧୂପକାଠି , ଧୂପକାଠି , ମୁଇଁ ଘରେ ଗାଲା ବେଲେ ବାଟେ ବାଘ୍‌ ଦେଖଲି।
ଉଠିଲା , ଉଠଲା , ପିଟି ବାଟେ ଗାଡ଼ି ଗଟେକ୍‌ ଆଚେ |
ଅଧୁକ , ଭୁତେକ , ସେ ମୋର୍‌ କାତା ସବୁ ଶୁନ୍‌୍ଲା |
ମୂଳା , ମୂଲା ,  ବାଘ୍କେ ଖେଦ୍ଲା ପାଇଁ ଉଟି ପାଲାୟଲା।
ପର୍ବ , ପରବ , ସାର୍‌ ପ୍ରଶୃ ପାଚାର୍ଲା |
ଲାଞ୍ଜ , ଲେଟଂଡ଼ି ,  ତୁଇ ମୋକେ କାଯ୍ଟା ନା ଦେଉସ୍‌ |
ଦାନ୍ତ ,  ଦାତ ,  ବାନ୍‌କେ ଫୂୁଟାଯ୍ଲାକେ ଫାଟିଗାଲା |
ବେଲ ଗଛ ,  ବେଲଗଛ ,  ମୁଇ ଆଗତୁ ଇସ୍କୁଲେ ଯିବି |
ଗଲାବେଳେ ,  ଗାଲାବେଲେ ,  ସର୍ତେ ଜୀବ ମନ୍‌ ମଟିଙ୍ଗ ଥାନେ ଆଯ୍ଲାଯ୍‌ |
ପଛ , ପଛ ,  ତୋର କାତା ମୋକେ ମନକେ ଗାଲା |
ଶୁଭିଲା , ଶୁନ୍‌ଲା , ରାଜାର ସଙ୍କେ ମନ୍ତ୍ରୀ ଗାଲାନି |
ଦୋଡ଼ିଲା ,  ପାଲାଯଲା ,  ବାବାଜୀ ମନ୍‌ ବନେ ଜଗ୍‌ କର୍ବାଯେ୍‌ |
ପଚାରିଲା , ପାଚାରଲା , ମାଇଁ କୁକ୍ଡ଼ା ଅଣ୍ଡା ଦେଯ୍ସି |
କଣ , କାଯଟା ,  କଡ ମନ୍‌ କଚେରାପାଣି କାଦ୍‌ ଖାଯ୍ବାଯ୍‌ |
ଫାଟିଗଲା , ଫାଟିଗାଲା ,  ମେଣ୍ଡାର ରମ୍‌ ବେଶି ମୋଟା ରେଯ୍ସି |
ଆଗ , ଆଗତୁ ,  ମଇଷି କାଲିଆ ରେଯ୍ସି |
ସବୁ ଜୀବ , ସବୁ ଜୀବ ,  ଦୁଇସାଙ୍କ ଜବର୍‌ ସାଙ୍ଗ୍‌ ହେଇ ରେବାୟଯ୍‌ |
କଥା , କାତା , ଦୂଇଟା ସାଙ୍କେ ବସାଯ୍ଲା ଆରି ଖାଦି ଖାଇବାକେ ଦେଲା।
ରାଜାଙ୍କ ସହ , ରାଜାର ସଙ୍ଗେ ,  ଦୁଇ ସାଙ୍ଗ ଖାଇ ସାରି ହାତ୍‌ ଧୟ୍ଲାଯ୍‌ |
ରଷି , ବାବାଜୀ , ଆସାଘରେ ଜୁ ବେଲ ହେଲାବେ |
କୁକୁଡ଼ା , କୁକଡ଼ା ,  ଘର ବାହାରେ ଲୋକମନ ଆଚତ୍‌ |
ବତକ , କଡ଼ , ସେ ବେଶି ଗାଉଁ ବୁଲଲାନି |
ମେଣ୍‌ା , ମେଣ୍ଡା , ଭାଟା ଲଗେ ପିଲାମ ନ୍‌ ଖେଳ୍‌ ଖେଲ୍‌ ଲାୟ୍ନି ।
ମଇଁଷି , ମଇଷି ,  ସେ ବଡ଼ିଆ କଟ୍‌ ପିନ୍ଦ୍ଲା ଆଚେ |
ଦୁଇ ସାଙ୍ଗ ,  ଦୁଇସାଙ୍କ୍‌ , ଆକାଶେ ତାରା ଦିଶ୍‌ସି ଆଟଚେ।
ବସରେ , ବସାଇଲା , ସେ ବଡ଼ିଆ ମୁଦି ଗଚେକ୍‌ ପିନ୍ଦ୍ଲା ଆଚେ |
ଖାଇସାରି , ଖାଇସରି ,  ଗଚେକ୍‌ ଦିନର୍‌ କାତା ଶୁନ୍‌୍ବାର୍‌ ଆଚେ |
ଚାଲ , ଜୁ , ମୁଇଁ ଯାଉ ଯାଉ ସେ ଘରେ ଯାଇରେଲା।
ବାହାରକୁ , ବାହାରେ , ଗୀର୍‌ ମେନ୍‌ ଅଫିସ୍‌କେ ପଞ୍ଚାୟତ୍‌ କୟ୍ବାୟ୍‌ |
ବୁଲିବା , ବୁଲବାଟା ,  ପଞ୍ଚାୟତ୍‌ ଥାନେ ସରପଞ୍ଚ୍‌ ରେଯ୍ସି |
ପଡ଼ିଆ , ଭାଟା , ସେମନ ନୂଆ ଯୋଜନା ଗଟେକ୍‌ ପାଞ୍ଚ୍‌େତେ ରେଲାଯ୍‌।
ଫ୍ରଗ୍‌ , କଟ , ହାୟ୍ତି ବେଶି ଘାସ୍‌ ଲଟା ହେଲା ଆଟେ।
ନକ୍ଷତ୍ର , ତାରା ,  ଜର୍ହେଲେ ଓଷ ଖାଇବାର୍‌ |
ମୁଦ୍ରିକା , ମୁଦି ,  ବଇ ପତର୍କେ ଯତନ୍‌ କରି ରକ୍ବାର୍‌ |
ଦିନକର , ଗଟେକ ଦିନ , ସେ ମୋକେ ବେଶି ସର୍ଦା ହେଲା।
ଫେରିଥୁଲା , ଯାଇରେଲା , ଖାରା ମାସେ ଆମ୍‌ ପାଟ୍‌ସି।
ପଞ୍ଚାୟତ , ପଞ୍ଚାୟତ ,  ଚର୍ଭୂଜ ଖାଇଲେ ପେଟ ଥଣାା ରେଯ୍ସି ।
ସରପଞ୍ଚ , ସର୍‌ପଞ୍ଚ ,  ଭଅର୍‌ ଗଟେକ୍‌ ରକମର୍‌ କୀଡ଼ା |
ପାଞ୍ଚୁଅବେ , ପାଞ୍ଚତେରେଲାୟେ , ବନ୍ଦେ କଇଁଫ୍ଲ ଫୁଟ୍‌ଲା ଆଚେ |
ଘାସବୁଦା , ଘାସଲାଟା , ପୁଲିସ୍‌ ମନ୍‌ ଦେଶ୍କେ ଶତ ଥାନୁ ରକ୍ଷା କର୍ବାଯ୍‌।|
ଓଷଧ , ଓଷ ,  ହଂସ ମନ୍‌ ଘରେ ରେବାଯ୍‌ |
ଯତନ , ଯତନ , ସିଂହ କମ୍‌ନେ ରେବାୟ୍‌ |
ଖୁସି , ସରଦା ,  ମୋକେ ମାଉସ୍‌ ସାଗ୍‌ ଭଲ ଲାଗ୍‌ସି|
ବୈଶାଖ ମାସ , ଖରା ମାସ , ଭାଇ ଭୟନୀ ବଡ଼େ ସୁନ୍ଦର୍‌ ଆଚତ୍‌ |
ତରଭୂଜ ,  ଚରଭୂଜ , ସେମନ୍‌ ହାଟେ ଜାଇ ରେଲାଯ୍‌ |
ଭଅର , ଭଅର ,  ଜନ୍ଟା କଯ୍ଲେ ମିଶା ସୁନ୍ବାକେ ତକେ ପଡ଼ଶି |
କଇଁ , କଇଫୁଲ , ସେ ବଡ଼େ ତେ ନରେବା ଲୋକ |
ସୈନିକ , ପୁଲିସ , ମୋର୍‌ ସାଇକେଲ ନସିଗାଲା |
ହଂସ , ହଂସ ,  ଠିକ୍‌ ବେଲାକେ ମାଷେର୍‌ ଆୟ୍ଲା |
ସିଂହ , ସିଂହ ,  ବେଶୀ ପବନ୍‌ ହେଲେ ଘର୍ଦ୍ଵାର୍‌ ଉଡାଯ୍ସି |
ମାଂସ , ମାଉଁସ୍‌ , ଡାକ୍ତର୍‌ ରୋଗ୍‌ ଚିନ୍‌ସି |
ଭାଇ ଭଉଣୀ , ଭାଇ ଭଉନୀ ,  ରଯ୍ବାରେ ଇସୁଲ୍‌ ନରେ |
ସେମାନେ , ସେମନ୍‌ , ସେ ସାତ୍ଦିନ ଇସୁଲେ ନା ଆସେ |
କୌଣସି , ଜନଟା , ଡଙ୍ଗା ଲଗେ ଗାଡ଼୍‌ ଲେଙ୍ଗବାର ହେଯ୍ସି |
ଅଭାବ , ଅଭାବ୍‌ ,  ଗଛର୍‌ ମୂଲ ଥାନେ ଜବର୍‌ ବଲ ରେୟଯ୍ସି |
ଖରାପ , ନଷବାଟ , ଆଜି ମୁଇ ଗୀ ବୁଲ ବାକେ ଯିବି |
ସମୟ , ବେଲା ,  ମୋର୍‌ ଜନମ ଦିନେ ନୂଆଁ ଡେରେସ୍‌ ଘେନି ହେବି |
ପବନ , ପବନ ,  ଭଲ୍‌ ପାନି ଲଗେ ଗାଦାୟ୍‌ ବାର୍‌ ଆଚେ |
ବଇଦ , ଡାଲ୍ତର , ମାପୁ ଘରେ ପୂଜା କର୍ବାର୍‌ ହେଯ୍ସି |
ରବିବାର , ରୟବାର ,  ମୋର୍‌ ଘର୍‌ ଲଗେମୋର୍‌ ସାଙ୍ଗ ଘର୍‌ ଲୋକ୍‌ ଆଚତ୍‌ |
ସାତଦିନ , ସାତଦିନ , ଇସୁଲେ ଭିନ୍‌ ଭିନ୍‌ ପିଲା ମନ ରେବାୟ୍‌ |
ନୌକା , ଡଙ୍ଗା ,  ଜନମ୍‌ ଦିନକେ ଜବର୍‌ ଗୌରବ ଦିନ୍‌ ବୋଲି ସେ ମାନ୍‌ଲାନି|
ମୂଳ , ମୂଲ ,  ଫଗୁନ୍‌ ମାସେ ଆମ ବଉଲ୍‌ ହେଇସି |
ଆଜି , ଆଜି ,  ଗଚେ ଜିବର୍‌ କୋଲି ହେଲା ଆଟେ |
ଜନ୍ମଦିନ , ଜନମ ଦିନ ,  ତାକେ ଦନା ଭର୍ତି ପେଜ୍‌ ଦିଆସ୍‌ |
ସ୍ଵାନ , ଗାଦାୟବାଟା , ଆମର୍‌ ଗୀରଲୋକ ମନ୍‌ ବାଘ୍‌ ବାଲୁ ମନ୍‌କେ ମାରବା ଲୋକ ମାରିକରି ଆନ୍ବାଯ୍‌ |
ଠାକୁର , ମାପ୍ଛ ,  ବନୁଆଁ ଗଟେକ୍‌ ଧନୁ ଧରି କରି କମ୍‌ନେ ଗାଲାନି |
ନିକଟ , ଲଗେ , ସେ ଘରେ ପୁର୍ଲା|
ଭିନ୍ନ ଭିନ୍ନ , ଭିନ ଭିନଟା , ଡେମ୍‌ସା ଥାନେ କିନ୍ଦ୍ରି କିନ୍ଦ୍ରି ନାଚ୍ବାର୍‌ |
ଗୌରବ , ଗରବ , ମୁଇଁ କାମ କରି ବେଶି ଥାକିଗାଲି |
ଫଗୁନ , ଫଗୁନ୍‌ ମାସ୍‌ , ସେ ବିଚଲ୍‌ ଲଗେ ଅଦ୍ରି ଗାଲା |
ଭାରି , ଜବର , ଆମର୍‌ ଗାଁର୍‌ ଲୋକ ମନ୍‌ ବେଟ୍‌ ବୁଲବାକେ ଯିବାଯ୍‌ |
ଭରା , ଭରତି , ସେ ଗୀତ୍‌ ଗାୟ୍ଲାକେ ପୁରସ୍ବାର୍‌ ପାୟ୍ଲା |
ଶିକାରୀ , ବାଘ୍ର ବାଲୁ ମନକେ ,  ତାକେ ଗଟେକ୍‌ ପେନ ଆଚେ |
ଧରି , ଧେରି , କାରା ବେଲେ ଜବର୍‌ ଶୋଷ୍‌ ଲାଗ୍‌ଲେ ପାନି ପିଇବାର ।
ପଶିଲା , ପୁରଲା , ଗାଗଡ଼୍‌ ମୁଣ୍ଡ ମୋକେ ଗାଗଡ଼୍‌ ମୁଣ୍ଡ ବେଶି ଦୁକ୍ଲାନି |
ବୁଲିବୁଲି , କିନ୍ଦରୀ କିନ୍ଦରୀ , ସେ ଜବର୍‌ ଶୀତପାଇଁ ଥର୍‌ ଥରି ଗାଲାନି |
ଥକି , ଥାକି ,  କଇଁଥ ପାଚ୍ଲେ ସରି ମିଟା ଲାଗ୍ସି |
ପଡ଼ିଲା , ଅଦର୍ଲା ,  କାମାର୍‌ ମନ୍‌ ମୁଟ୍ଲା ଥାନେ ଫାଲ୍‌ ବନାୟ୍ବାଯ୍‌ |
ଶିକାର , ବେଟ୍‌ କୁଲ୍ବାଟା ,  ଫୁଲହାଣି ଆମର୍‌ ଇସୁଲେ ଫୁଲ୍‌ ହାଣି ମନ୍‌ ଆଚେ |
ପାଇଲା , ପାୟଲା , ସିନ୍ଦୁର୍ତାବା ଲଗେ ସିନ୍ଦୁର୍‌ ଆଚେ |
ତାକୁ , ତାକେ ,  ଆମର୍‌ ବଢେ ସୁନ୍ଦର୍‌ କପାଟ ଚାଟେକ୍‌ ଆଟେ |
ଶୋଷ୍‌ , ଶୋଷ , ସୀତା ଫଲ୍‌ ପାଚ୍୍‌ଲେ ମିଟା ଲାଗ୍ସି |
ଦେହହାତ , ଦେହହାତ୍‌ ,  ଆମର ଇସୁଲେ ସାର୍ମନ୍‌ ଦେଲାଯ୍‌ |
ଥରଥର , ଥରିଧରି ,  ମାଇଜି ଟକି ମନ୍‌ ହାତେ ଗାଜୁଲ୍‌ ପିନ୍ଦବାଯେ |
କଇଁଥ , କଇଥ , ଝିଲାପି ପୁଡ଼ା ବାନ୍ଦିକରି ମକେ ଦିଆ ।
ହାତୁଡି , ମୁଟଲା ,  ଆମର ଗାଯେ ବୁଦାର ହାଟ ହେଯସି।
ଫୁଲକୁଣ୍ଡ , ଫୁଲକୁଣ୍ଡ , ମୁଇ ଏଡକି ବେଲା ଘରେ ନାରେଇ |
ଫରୁଆ , ସିନ୍ଦୁରତାବା ,  ଆଯ ଲୁଚି ଲୁଚି ଘରେ ଗାଲାନି |
ଫାଟକ , କପାଟ , ବଦ୍‌ଲିଫୁଲ ରଂଗ ରେଯସି।
ଆତ , ସୀତା ଫଲ , ଭାତ୍‌ ସାଗ୍ଭଲ କରି ଚାବିକରି ଖାଇବାର୍‌।
କଲମ , ପେନ୍‌ ,  କୁକୁର୍‌ ଲେଙ୍ଗୁଡ଼ି ବାକଡ଼ା ରେୟସି |
ଶଙ୍ଖା , ଗାଜୁଲ୍‌ , ରାମ୍‌ ଖଟିଆ ଲଗେ ଶୟଲା ଆଚେ|।
ପୁଡ଼ିଆ , ପୁଡ଼ା ,  ବିଷ୍‌ ଚେଣକା ଚାବ୍ଲେ ମର୍ବାର୍‌ ହେୟସି |
ବଜାର , ହାଟ୍‌ , ମୋକେ ଜବର୍‌ ଭାଚ୍ ନା ଦିଆ।
ଏତିକିବେଲେ , ଏଡ଼କିବେଲେ , ଆୟ ଆଗବ୍‌ ଇସୁଲେ ଜାଇରେସି।
ଛପି ଛପି , ଲୁଚି ଲୁଚି ,  ଯାତ୍ରା ଥାନେ ରକ୍ମ୍‌ ରକ୍ମର୍‌ ଜିନିଷ ମନ୍‌ ମିଲ୍ସି |
ନାଲି , ରଂଗ , ପିଲାଗଟେକ୍‌ ବଡ଼େ ସୁନ୍ଦର୍‌ ବାନା ଲେଖନା ଆଟେ।
ଗେବାଇ , ଚାବିକରି , ଆୟ ଗଟେକ୍‌ ରାତି ଆମରତି ରେଲା।
ବଙ୍କା , ବାକଟା ,  ତୁଇ କନ୍ତି ଗାଲୁସନି |
ପଲଙ୍କ , ଖଟିଆ , ପିଲାଟକି ମନ୍‌ ଡେଗା ଡେଗି ଖେଲ୍‌ ଲାୟେନି ।
ଝିଟିପିଟି , ବିଷ୍‌ ଟେଣ୍ଡକା , ଚେଡ଼େ ମନ୍‌ ଆକାଶେ ଉଡ଼ି ବୁଲଲାୟତି ।
ବେଶୀ , ଜବର ,  ସମର୍‌ ମନ୍‌ ବନେ ରେବାଯେ |
ପ୍ରଥମ , ଆଗତୁ ,  ଟିଲୁମୂଷାର୍‌ ପିଟି ଉପରେ ତିନ୍ଟା ଗିରା ଆଚେ |
ବିଭିନ୍ନ , ରକମ୍‌ ,  ଖାଡ଼ା ମନ୍‌ ଘାସ୍‌ ଖାଇବାଯେ |
ଛବି , ବାନା , ମୀ ହାଣି କୁଣ୍ଡି ଧଇଲାନି |
ଆଶ୍ରୟ , ରେବାଟା , ଆନ୍ଦାର ବେଲା କୁପି ଲାଗାୟବାର୍‌।
କେଉଁଠାରେ , କନତି ,  ତୋର୍‌ ଫାଟି ଠୁଟି ସଫା ସୁତରା କରି ରଖ୍‌ |
ଡେଆଁଡେଇଁ , ଡେଗାଡେଗି , ସାଗ୍‌ ଥାନେ ବେଜରି ପକାଯଲେ ସୁଆଦ୍‌ ଲାଗସି|
ପକ୍ଷୀ , ଚେଡ଼େ ,  ଆମର୍‌ ଆତା କାଲି ଆମର ଘରେ ଆଯସି |
ହରିଣ , ସମର୍‌ , ତେତଲି ଆମ୍ଲି ଲାଗ୍‌ସି |
ଗୁଣ୍ଡୁଚିମୂଷା , ଟ୍ରିଲୁମୂଷା ,  ଗପ୍ଡ଼ା ଚଚେ ରେଯସି |
ଠେକୁଆ , ଖାଡ଼ା ,  ତୁଇ ଢେପ୍‌ ଲଗେ ବସିରା |
ବାସନ କୁସନ , ହାଣ୍ତ କୁଣ୍ଡି ,  ମଲୁଆ ମୂଷା ଗଛେ ରେଯସି |
ଦୀପ , କୃପି , ମୋକେ କେ ଡାକଲା |
ଲୁଗାପଟା , ଫାଟିଠୁଟି ,  ଆଯ ଇସୁଲେ ଗାଲାନି |
ଟମାଟ , ବେଜରୀ , ହିଣ୍ଡବା ବେଲେ ଦେଖୁ ଚାଇଁ କରି ହିଣ୍ଡବାର୍‌ |
ମାଭ , ଆତା , ମନ୍ଦିରେ ପୂଜା କର୍ବାର୍‌ ହେୟସି |
ଖଇ , ଖଟା ,  ଏବାଟେ ତୁଇ ଛନେକ୍‌ ଆଯ |
କାଇ , ଗପଡ଼ା , ପୁଷ୍ମାସେ ପିଲାମନ୍‌ କାଡ଼ିନାଟ୍‌ କର୍ବାଯେ |
ଉଚ୍ଚା , ଢେପ୍‌ , ଘରେ କୁଚି ପକାୟ କରି ଗାଉ ଯିବାର |
ନେଉଁଳ , ମଲୁଆମୂଷା , ମକେ ନୁଆଁ କୁଚି।
କିଏ , କେ ,  ବରଷା ପାନିକେ ନା ପିଇବାର୍‌ |
ଯାଉଛି , ଗାଲାନି , ଇସ୍କୁଲେ ପାକେ ଗଟେକ୍‌ ଡବ୍‌ରା ଆଟେ |
ଗଲିବା , ହିଣ୍ଡବା , ପାଣ୍ଡକା ମନ୍‌ ଗଛେ ରେବାୟେ |
ଦେଉଳ , ମନ୍ଦିର ,  କର୍‌ ମନ୍‌ କୁକୁଡ଼ା ଧାରି ଖାଇସି |
ଏବାଟ , ଏବାଟେ ,  ଉଟର ଟଟ୍ା ବେଶି ଲାମଡ଼ି ରେୟସି |
କାଠି , କାଡ଼ି , ତାର୍‌ ଟଣ୍ଡେ ଘାଉ ହେଲା ଆଚେ |
ଚାବି , କୁଚି , ଆୟ ବେଶି କାକୁରତି ହେଲାନି |
ତାଲା , କୁଚି , ତୋର୍‌ ନାନା କନି ଗାଲା |
ବର୍ଷା , ବରଷା , ଇବାଟେ ତୁଇ ଛନେକ୍‌ ଦେଖ୍‌ |
ଗାଡ଼ିଆ , ଡକରା , ରାଜାର ମାଇଁଜିକେ ରାନି ବଲବାଯେ |
କପୋତ , ପାଣ୍ଡକା , ପେନ୍‌ ସିରା ଝର୍ଲା ଆଚେ |
କୋକିଶିଆଳି , କଗ୍‌ ,  ଆୟ ଟପରି ପିନ୍ଦଲା ଆଚେ |
ଓଠ , ଉଟ୍‌ ,  ବେଙ୍ଗଟି ବନ୍ଦେ ରେବାଯେ |
ପାଟି , ଚଣ୍ଡ ,  ମନିକେ ଫୁଲମାଲା ପିନ୍ଦାଇ ଲାଯେ |
ଆତୁର , କାକୁରସି ,  ମୋକେ ବେଶି ଭୁକ୍‌ ଲାଗ୍ଲାନି |
ନନା , ନନା ,  କାଉଲିଆ ମୋର୍‌ ଦାଦି ବଡ଼େ କାଉଲିଆ ହେଲା ଆଚେ |
ଅନା , ଦେଖ ,  ଟୁପା ସବୁୂକେ ଯୋଡ଼ିକରି ଚିତର୍‌ କରା |
ରାଣୀ , ରାନି ,  ବିବାଘରେ ଲୋକ୍‌ ମନ୍‌ ରେବାଯେ |
ଝରଲା , ଝରଲା ,  କଲିଆ ମନ୍‌ ବନେ ଆଚତ୍‌ |
ଟୋପି , ଟପରି ,  ଆମର୍‌ ଘରକେ ମୁଇଁ ସବୁ ଥାନୁ ବଡ଼ |
ବେଙ୍ଗ , ବେଙ୍ଗଟି ,  ଆଗର୍‌ ଲୋକ୍‌ ମନ୍‌ ବଡେ ଭକୁଆ ରେଲାଯେ |
ତୋରଣ ,। ମାଲା , ତର୍‌ ପଟେ ମୁଇ ଯିବି।|
ଭୋକ , ଭୁକ ,  ମକେ ବଡ଼େ ଗରମ ଲାଗ୍୍‌ଲାନି |
ରୋଗ , ରଗ୍‌ , ଗାଡ଼ ପାଲିର ସେ ଘାଟେ ଲୋକ୍‌ ମନ୍‌ ପାନି ଗାଧାଇ ଲାୟନି।
ଯୋଡ଼ିବା , ଯୋଡ଼ବାଟା ,  ବାଘକେ ଦେଖ୍‌ କରି ରାମ ଚମକି ଗାଲା |
ବାହାଘର , ବିବାଘର ,  ଆମର୍‌ ଘର୍‌ ପଚ୍‌ ବାଟେ ବଡ଼େଟା ବାଡ଼ ଗଟେକ୍‌ ଆଚେ |
ଶୃଗାଳ , କଲିଆ ,  ମୋକେ ମାଛ୍‌ ସାଗ୍‌ ନିମାନ୍‌ ଲାଗସି |
ସବୁଠୁ , ସବୁଥାନୁ ,  ଆୟ ମୋକେ ବେଶି ରିଶା ହେଲା ଆଗେ |
ପୂର୍ବରୁ , ଆଗରୁ ,  ଆମେ ସବୁଲୋକ୍‌ ମିଶିକରି ଗାଉଁକେ ଯିବୁ ବେ |
ପରେ , ପଟେ ,  ସବୁଲୋକ୍‌ ବିଡ଼ି ମିଶି କରି ରେବାର |
ଭାରୀ , ବଡ଼େ ,  ପୂଜାରୀ ହୁଣି ପରେ ବଇଟା ଜଲେଇସି |
କୂଳ , ଘାଟ ,  ତାର୍‌ ସାଙ୍ଗେ ମୁଇ ମାସାଦ୍‌ କରଲି ଆଚି |
ଚମକି , ଚମ୍‌କି ,  ଫୁଲକେ ପକଡ଼ି ମନ୍‌ ରେଯସି |
ବଗିଚା , ବାଡ଼ ,  କୁକୁଡ଼ା ଗାଲିଥାନେ ଗାଂଜା ମନ୍କେ ଲାଗାଲାଗି କରାୟ ବାୟେ।
ବଢ଼ିଆ , ନିମାନେ ,  ମୋକେ ପାଞ୍ଚଟା ଲାକା ଆଙ୍ଗଟି ଆଟେ |
ରାଗି , ରିଶା , ରାମ ମୋର ଥାନୁ ତେଙ୍ଗ ଆଚେ |
ସମସ୍ତେ , ସବୁଲୋକ ,  ଜୟକାଡ଼ି ଥାନୁ ଜୟ ଲାଗାୟବାର ହେଯସି |
ମିଳିମିଶି , ବିଡ଼ିମିଶି ,  ଆମର୍‌ ଘରେ ପାଞ୍ଚ୍‌ ବାଖରା ଆଚେ |
ଦୀବାଳି , ବିଇଟା , ମାଇଁଜି ଟକି ମନ୍‌ ଫାଟାଇ ପିନ୍ଦବାୟେ |
ମିତ , ମାସାଦ୍‌ ,  ତେତ୍ଲି ଗଚେ ଜବର୍‌ ତେତ୍ଲି ହେଲା ଆଚେ |
ପାଖୁଡ଼ା , ପକଡ଼ି ,  ମକେ ସାନ୍‌ ସାଇକେଲ ଗଟେକ୍‌ ଆଚେ |
ଲଢେଇ , ଲାଗାଲାଗି ,  ଆୟ ମନ ଠିଆଁ ହେଲା ଆଚତ୍‌ |
ଆଙ୍ଗୁଳି , ଆଙ୍ଗଟି , ପତରକେ ମୟିରି ପରା ବନାକେ ଏସି ।
ତେଙ୍ଗା , ତେଙ୍୍‌ , ପୁରବେ ରାଜା ମନ୍‌ ବେଟକେ ବାରଲା ବେଲେ ମୟିରୀ ଫୂକତେ ରେଲାୟ |
ଦିଆସିଲି , ଜୟକାଡ଼ି ,  ମଜୁର୍‌ ବନେ ରେଯସି |
କୋଠରି , ବାଖରା , ଆମର୍‌ ଗୀ ପରବ୍‌ ତିଆରକେ ଶାଗ୍‌ ଭାତ୍‌ ଦିଆ ଦେଇ ହେବୁ।
ଶାଢି , ଫାଟାଇ , ହାଟ୍‌ ସାଗ୍ଡ଼ାଲ୍‌ ମନ୍‌ ବିକ ବାୟେ |
ତେନ୍ତୁଳି , ତେତୁଲି , ମନ୍ଦିରେ ପୂଜାରି ପୂଜା କରସି |
ନିମ୍ନ , ଛୋଟ , ଗାଡ଼ି ଗଟେକ୍‌ ଜରରେ ଗାଲାନି |
ଉଭା ,  ଠିଆଁ , ଆମର୍‌ ଘରର୍‌ ଗଟେକ୍‌ ବାଟେ କପାଟ୍‌ ଆଗେ।
ମହୁରୀ , ମୟିରୀ ପାରା , ମାଲତିର୍‌ କାତା ଲେଞ୍ମୁଣ୍ଡ କାୟଟା ଜାନି ନାହେଲା |
ଫୁଙ୍କବାଟା ,  ଫୂକତେ,  ଆୟ ମନ୍‌ ଦୁଇ ଲୋକ ହାଟେ ଯିବାଯେ |
ମୟୂର , ମଜୁର୍‌ ,  ଚିଭଲ ଦେଖବାକେ ବଡ଼େ ସୁନ୍ଦର୍‌ |
ପୂଜା ପରବ , ପରବ ଚିଆର , ଜନଟା ଜୀବନ ଆଚେ ତାକେ ଜୀବନ ବୋଲି କୟବାଯେ |
ପରିବା , ସାଗଡ଼ାଲ୍‌ ,  ତୁଇ ମୋକେ କାୟଟା ଦେବୁସି |
ପୂଜା , ପୂଜା , ମୁଇ ଦୁଇ ଗନ୍ଦାମାଛ୍‌ ଖାଇଲି।
ଜୋରରେ , ଜରରେ ,  ଆମର୍‌ ବାଡ଼େ ଫୁଲ ଗୁବି ଜବର ଆଚେ |
ଏକ ମୁହୀ , ଗଟେକବାଟେ , ବାଙ୍ଗାକେ ସାଗ୍‌ ରାନ୍ଦିକରି ଖାଇବାର ହେୟସି |
ଆଗପଛ , ଲେଞ୍ଚ ମୁଣ୍ଡ , ଚାବା ଲଗେ ରୁଟି ବନାୟ କରି ଖାଇବାର୍‌ ହେଇସି ।
ଦୁହେଁ , ଦୁଇ ଲୋକ , ଗାର୍‌ ଚକ୍ଲି ବଡ଼େ ସୁଆଦ୍‌ ରେୟସି ।
ମୃଗ , ଚିଭଲ , ଭାଟା ଲଗେ ପିଲାମନ୍‌ ବଲ୍‌ ଖେଲଳଲାହେନି ।
ଜୀବ , ଜୀବନଟା ,  ପଦାୟେ ଲୋକ୍‌ ମନ୍‌ ବୁଲଲାଯେନି ।
କ'ଣ , କାୟଟା ,  ମୋକେ ପାଖ୍ନା ଗଡ଼ି ଗଟେକ୍‌ ପାଯଲା।
ଦୁଇଫାଳ , ଦୁଇଗଳା ,  ଏସୁର ପାନି ପବନ୍‌ ଅଦିକ ଏଲାନି।
କୋବି , ଗୁଚି ,  ତୁଇ ତଲବାଟେ ଦେଖୁ କରି ହିଣ୍ଡ।
ବାଇଗଣ , ବାଙ୍ଗା , ଆକାଶର ତାରା ମନ୍କେ ଶନି ନାହେ।
ତାୱା , ତାବା ,  ଚମ୍ପା ଗଟେକ୍‌ ମୁଦି ପିନ୍ଦଲା ଆଚେ |
ଆମଲେଟ , ଗାରଚକଲି ,  ତୁଇ ଧାପେ ଉଟିଆରଲୁସି୍‌ |
ପଡ଼ିଆ , ଭାଟା , ମୋର ବାବା ମକେ ବେଶି ଲାଡ଼କର୍‌ସି ।
ବାହାରକୁ , ପଦାୟେ ,  ତୋର କାମିଜ୍‌ ବଡ଼େ ସୁନ୍ଦର୍‌ ଆଚେ |
ବାଜିଲା , ପାଯଲା , ଆମରତି ଗଟେକ୍‌ କାଲିଆ ମେଣ୍ଡା ଆଚେ।
ହାୱା , ପବନ ,  ଗୁନଗ ମାସେ ଜବର୍‌ ମେଘ ହେଯସି।
ତଳକୁ , ଚଲେ ,  ବିଜ୍‌ ମାର୍ଲେ ଲୋକ୍‌ ମର୍ବାର୍‌ ହେୟସି |
ନକ୍ଷତ୍ର , ତାରା , ରାମ ବଢ଼େ ପାଣ୍ତରା ଆଚେ |
ମୁଦ୍ରିକା , ମୁଦ୍ରି ,  ଆଯ ବନ୍ଦେ ଡେଗାଇ ଦେଲା |
